object_id,x,y
T7_central_incision_drainage_1,0.542,0.591
T7_central_incision_drainage_1,0.542,0.566
T7_central_incision_drainage_1,0.542,0.565
T7_central_incision_drainage_1,0.542,0.564
T7_central_incision_drainage_1,0.541,0.564
T7_central_incision_drainage_1,0.54,0.564
T7_central_incision_drainage_1,0.46,0.564
T7_central_incision_drainage_1,0.459,0.564
T7_central_incision_drainage_1,0.458,0.564
T7_central_incision_drainage_1,0.458,0.565
T7_central_incision_drainage_1,0.458,0.566
T8_central_incision_drainage_1,0.458,0.529
T8_central_incision_drainage_1,0.458,0.561
T8_central_incision_drainage_1,0.458,0.562
T8_central_incision_drainage_1,0.458,0.563
T8_central_incision_drainage_1,0.459,0.563
T8_central_incision_drainage_1,0.46,0.563
T8_central_incision_drainage_1,0.46,0.564
T8_central_incision_drainage_1,0.54,0.564
T8_central_incision_drainage_1,0.54,0.563
T8_central_incision_drainage_1,0.541,0.563
T8_central_incision_drainage_1,0.542,0.563
T8_central_incision_drainage_1,0.542,0.562
T8_central_incision_drainage_1,0.542,0.561
T8_central_incision_drainage_1,0.542,0.529
T8_central_incision_drainage_1,0.542,0.528
T8_central_incision_drainage_1,0.542,0.527
T8_central_incision_drainage_1,0.541,0.527
T8_central_incision_drainage_1,0.54,0.527
T8_central_incision_drainage_1,0.46,0.527
T8_central_incision_drainage_1,0.459,0.527
T8_central_incision_drainage_1,0.458,0.527
T8_central_incision_drainage_1,0.458,0.528
T8_central_incision_drainage_1,0.458,0.529
T9_central_incision_drainage_1,0.458,0.498
T9_central_incision_drainage_1,0.458,0.528
T9_central_incision_drainage_1,0.458,0.529
T9_central_incision_drainage_1,0.458,0.53
T9_central_incision_drainage_1,0.459,0.53
T9_central_incision_drainage_1,0.46,0.53
T9_central_incision_drainage_1,0.54,0.53
T9_central_incision_drainage_1,0.541,0.53
T9_central_incision_drainage_1,0.542,0.53
T9_central_incision_drainage_1,0.542,0.529
T9_central_incision_drainage_1,0.542,0.528
T9_central_incision_drainage_1,0.542,0.498
T9_central_incision_drainage_1,0.542,0.497
T9_central_incision_drainage_1,0.542,0.496
T9_central_incision_drainage_1,0.541,0.496
T9_central_incision_drainage_1,0.54,0.496
T9_central_incision_drainage_1,0.46,0.496
T9_central_incision_drainage_1,0.459,0.496
T9_central_incision_drainage_1,0.458,0.496
T9_central_incision_drainage_1,0.458,0.497
T9_central_incision_drainage_1,0.458,0.498
